_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
099.440417;-43.196111;    2451;2451;   Nu  Pup; 47670;     ; 3062    ;06 37 45.7;-43 11 46; 3.17;-0.11;  B8III             ;*
100.982917;+25.131111;    2473;2473; 27Eps Gem; 48329; 5381; 3183    ;06 43 55.9;+25 07 52; 2.98; 1.40;  G8Ib              ;*
101.322500;+12.895556;    2484;2484; 31Xi  Gem; 48737;     ; 3193    ;06 45 17.4;+12 53 44; 3.36; 0.43;  F5III             ;*
102.047500;-61.941389;    2550;2550;   Alp Pic; 50241;     ;         ;06 48 11.4;-61 56 29; 3.27; 0.21;  A7IV              ;
102.484167;-50.614722;    2553;2553;   Tau Pup; 50310;     ;         ;06 49 56.2;-50 36 53; 2.93; 1.20;  K1III             ;*
105.429583;-27.934722;    2646;2646; 22Sig CMa; 52877; 5719;Sig CMa  ;07 01 43.1;-27 56 05; 3.47; 1.73;  K7Ib              ;*
105.756250;-23.833333;    2653;2653; 24Omi2CMa; 53138;     ;         ;07 03 01.5;-23 50 00; 3.02;-0.08;  B3Iab             ;*
109.285833;-37.097500;    2773;2773;   Pi  Pup; 56855;     ; 3515    ;07 17 08.6;-37 05 51; 2.70; 1.62;  K3Ib              ;*
111.787500; +8.289444;    2845;2845;  3Bet CMi; 58715;     ;Bet CMi  ;07 27 09.0;+08 17 22; 2.90;-0.09;  B8Ve              ;*
112.307500;-43.301389;    2878;2878;   Sig Pup; 59717;     ;         ;07 29 13.8;-43 18 05; 3.25; 1.51;  K5III             ;*
113.650000;+31.888611;    2890;2890; 66Alp Gem; 60178; 6175;         ;07 34 36.0;+31 53 19; 2.88; 0.04;  A2Vm              ;*
117.323750;-24.859722;    3045;3045;  7Xi  Pup; 63700; 6393;         ;07 49 17.7;-24 51 35; 3.34; 1.24;  G6Iab-Ib          ;*
119.194583;-52.982222;    3117;3117;   Chi Car; 65575;     ;Chi Car  ;07 56 46.7;-52 58 56; 3.47;-0.18;  B3IVp             ;*
121.885833;-24.304167;    3185;3185; 15Rho Pup; 67523;     ;Rho Pup  ;08 07 32.6;-24 18 15; 2.81; 0.43;  F6IIpDel Del      ;*
127.566250;+60.718056;    3323;3323;  1Omi UMa; 71369; 6830; 4093    ;08 30 15.9;+60 43 05; 3.36; 0.84;  G5III             ;*
131.694167; +6.418889;    3482;3482; 11Eps Hya; 74874; 6993;Eps Hya  ;08 46 46.6;+06 25 08; 3.38; 0.68;  G5III             ;*
133.848333; +5.945556;    3547;3547; 16Zet Hya; 76294;     ;         ;08 55 23.6;+05 56 44; 3.11; 1.00;  G9II-III          ;
134.801667;+48.041667;    3569;3569;  9Iot UMa; 76644; 7114; 4329    ;08 59 12.4;+48 02 30; 3.14; 0.19;  A7IV              ;*
137.741667;-58.966944;    3659;3659;          ; 79351;     ;V357 Car ;09 10 58.0;-58 58 01; 3.44;-0.19;  B2IV-V            ;*
140.263750;+34.392500;    3705;3705; 40Alp Lyn; 80493;     ; 4456    ;09 21 03.3;+34 23 33; 3.13; 1.55;  K7IIIab           ;*
143.214167;+51.677222;    3775;3775; 25The UMa; 82328; 7420; 4519    ;09 32 51.4;+51 40 38; 3.17; 0.46;  F6IV              ;*
142.805417;-57.034444;    3803;3803;          ; 82668;     ;N Vel    ;09 31 13.3;-57 02 04; 3.13; 1.55;  K5III             ;*
146.462917;+23.774167;    3873;3873; 17Eps Leo; 84441;     ; 4613    ;09 45 51.1;+23 46 27; 2.98; 0.80;  G1II              ;*
146.775417;-65.071944;    3890;3890;   Ups Car; 85123;     ;         ;09 47 06.1;-65 04 19; 3.01; 0.28;  A6Ib              ;*
154.172500;+23.417222;    4031;4031; 36Zet Leo; 89025;     ; 4804    ;10 16 41.4;+23 25 02; 3.44; 0.31;  F0III             ;*
154.274167;+42.914444;    4033;4033; 33Lam UMa; 89021;     ;         ;10 17 05.8;+42 54 52; 3.45; 0.03;  A2IV              ;*
153.434167;-70.038056;    4037;4037;   Ome Car; 89080;     ;         ;10 13 44.2;-70 02 17; 3.32;-0.08;  B8III             ;*
154.270833;-61.332222;    4050;4050;          ; 89388;     ;V337 Car ;10 17 05.0;-61 19 56; 3.40; 1.54;  K3IIa             ;*
154.992917;+19.841667;    4057;4057; 41Gam1Leo; 89484; 7724; 4823    ;10 19 58.3;+19 50 30; 2.61; 1.15;  K1-IIIbFe-0.5     ;*
155.582083;+41.499444;    4069;4069; 34Mu  UMa; 89758;     ; 4829    ;10 22 19.7;+41 29 58; 3.05; 1.59;  M0III             ;*
158.005833;-61.685278;    4140;4140;          ; 91465;     ;PP Car   ;10 32 01.4;-61 41 07; 3.32;-0.09;  B4Vne             ;*
160.739167;-64.394444;    4199;4199;   The Car; 93030;     ;         ;10 42 57.4;-64 23 40; 2.76;-0.22;  B0Vp              ;*
161.692500;-49.420000;    4216;4216;   Mu  Vel; 93497;     ;         ;10 46 46.2;-49 25 12; 2.69; 0.90;  G5III+G2V         ;*
162.406250;-16.193611;    4232;4232;   Nu  Hya; 93813;     ;         ;10 49 37.5;-16 11 37; 3.11; 1.25;  K2III             ;
167.415833;+44.498611;    4335;4335; 52Psi UMa; 96833;     ;         ;11 09 39.8;+44 29 55; 3.01; 1.14;  K1III             ;
168.527083;+20.523611;    4357;4357; 68Del Leo; 97603;     ; 5143    ;11 14 06.5;+20 31 25; 2.56; 0.12;  A4V               ;*
168.560000;+15.429444;    4359;4359; 70The Leo; 97633;     ; 5144    ;11 14 14.4;+15 25 46; 3.34;-0.01;  A2V               ;*
169.619583;+33.094167;    4377;4377; 54Nu  UMa; 98262; 8123;         ;11 18 28.7;+33 05 39; 3.48; 1.40;  K3-IIIBa0.3       ;*
173.945000;-63.019722;    4467;4467;   Lam Cen;100841;     ;         ;11 35 46.8;-63 01 11; 3.13;-0.04;  B9III             ;*
182.089583;-50.722500;    4621;4621;   Del Cen;105435;     ;Del Cen  ;12 08 21.5;-50 43 21; 2.60;-0.12;  B2IVne            ;*
182.531250;-22.619722;    4630;4630;  2Eps Crv;105707;     ; 5483    ;12 10 07.5;-22 37 11; 3.00; 1.33;  K2.5IIIaBa0.2:    ;*
183.786250;-58.748889;    4656;4656;   Del Cru;106490;     ;Del Cru  ;12 15 08.7;-58 44 56; 2.80;-0.23;  B2IV              ;*
183.856667;+57.032500;    4660;4660; 69Del UMa;106591;     ; 5513    ;12 15 25.6;+57 01 57; 3.31; 0.08;  A3V               ;*
183.951667;-17.541944;    4662;4662;  4Gam Crv;106625;     ; 5515    ;12 15 48.4;-17 32 31; 2.59;-0.11;  B8IIIpHgMn        ;*
187.466250;-16.515556;    4757;4757;  7Del Crv;108767; 8572; 5656    ;12 29 51.9;-16 30 56; 2.95;-0.05;  B9.5V             ;*
188.596667;-23.396667;    4786;4786;  9Bet Crv;109379;     ; 5729    ;12 34 23.2;-23 23 48; 2.65; 0.89;  G5II              ;*
189.295833;-69.135556;    4798;4798;   Alp Mus;109668;     ;Alp Mus  ;12 37 11.0;-69 08 08; 2.69;-0.20;  B2IV-V            ;*
191.570417;-68.108056;    4844;4844;   Bet Mus;110879;     ;         ;12 46 16.9;-68 06 29; 3.05;-0.18;  B2.5V             ;*
193.900833; +3.397500;    4910;4910; 43Del Vir;112300;     ; 6026    ;12 55 36.2;+03 23 51; 3.38; 1.58;  M3+III            ;*
194.007083;+38.318333;    4915;4915; 12Alp2CVn;112413; 8706;Alp2 CVn ;12 56 01.7;+38 19 06; 2.90;-0.12;  A0pSiEuHg         ;*
195.544167;+10.959167;    4932;4932; 47Eps Vir;113226;     ; 6064    ;13 02 10.6;+10 57 33; 2.83; 0.94;  G8IIIab           ;*
